NAME,POS,AGE,EXP,PPG,RPG,APG,TYPE,NEWS,TO,FROM
DeMar DeRozan,G-F,33,13 yrs,25.9,5,4.7,ufa,Signs with CHI >,CHI,SAS
Carmelo Anthony,F,38,20 yrs,22.5,6.2,2.7,ufa,Signs with LAL >,LAL,POR
Kelly Oubre Jr.,F-G,27,7 yrs,20.8,5.3,1.3,ufa,Signs with CHA >,CHA,GSW
Dwight Howard,C-F,37,19 yrs,15.7,11.8,1.3,ufa,Signs with LAL >,LAL,PHI
Malik Monk,G,24,5 yrs,14.2,2.2,4,ufa,Signs with LAL >,LAL,CHA
Paul Millsap,F,37,17 yrs,13.4,7.1,2.2,ufa,Signs with BKN >,BKN,DEN
Kemba Walker,G,32,11 yrs,12.8,3.2,3.4,ufa,Signs with NY >,NY,OKC
Enes Freedom,C,30,11 yrs,11.2,7.8,0.9,ufa,Signs with BOS >,BOS,POR
Trevor Ariza,F,37,18 yrs,10.4,4.8,2.1,ufa,Signs with LAL >,LAL,MIA
Elfrid Payton,G,28,9 yrs,10.1,4,5.7,ufa,Signs with PHX >,PHX,NY
Zach Collins,F-C,25,4 yrs,8.9,5.8,2.9,ufa,Signs with SAS >,SAS,POR
Jalen Brunson,G,26,4 yrs,20.4,3.2,6.3,ufa,Signs with NY,NY,DAL
Lonnie Walker IV,G-F,24,4 yrs,15.5,2.5,1.5,rfa,Signs with LAL,LAL,SAS
Malik Monk,G,24,5 yrs,14.2,2.2,4,ufa,Signs with SAC,SAC,LAL
Bruce Brown,G-F,26,4 yrs,11.3,4.4,4.3,ufa,Signs with DEN,DEN,BKN
Thomas Bryant,C-F,25,5 yrs,10.6,4.9,0.9,ufa,Signs with LAL,LAL,WSH
